booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Room service,Visit hotel website",Executive Hotel LeSoleil,new york,14,$139,1255 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_LeSoleil-New_York_City_New_York.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",YOTEL New York,new york,16,$141,12365 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d2079052-Reviews-YOTEL_New_York-New_York_City_New_York.html
Expedia.com,2019/03/29,2019/03/30,"Restaurant,Room service,Visit hotel website",The Bentley Hotel,new york,16,$116,4800 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d99302-Reviews-The_Bentley_Hotel-New_York_City_New_York.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",Pod 51 Hotel,new york,14,$149,5435 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York.html
Booking.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Crowne Plaza Times Square Manhattan,new york,17,$149,11203 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York.html
Expedia.com,2019/03/29,2019/03/30,"Restaurant,Bar/Lounge",Arthouse Hotel New York City,new york,12,$207,6691 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York.html
GardenInn.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Hilton Garden Inn Times Square,new york,15,$153,8250 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d99352-Reviews-Hilton_Garden_Inn_Times_Square-New_York_City_New_York.html
Official Site,2019/03/29,2019/03/30,"Bar/Lounge,Fitness center,Visit hotel website",Park Central Hotel New York,new york,17,$135,6373 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Hotel 50 Bowery NYC,new york,17,$239,1364 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d10066892-Reviews-Hotel_50_Bowery_NYC-New_York_City_New_York.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Dream Midtown,new york,18,$175,809 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d75688-Reviews-Dream_Midtown-New_York_City_New_York.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Stewart Hotel,new york,17,$139,6976 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d93562-Reviews-Stewart_Hotel-New_York_City_New_York.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Dream Downtown,new york,16,$235,4040 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d2173604-Reviews-Dream_Downtown-New_York_City_New_York.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Fitness center",The Evelyn,new york,16,$199,145 ,,http://www.tripadvisor.com/Hotel_Review-g60763-d99389-Reviews-The_Evelyn-New_York_City_New_York.html
