,hotel_name,price,reviews,rating,url,key
35,Flying Pig Uptown,128.0,944.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d236050-Reviews-Flying_Pig_Uptown-Amsterdam_North_Holland_Province.html,Amsterdam
36,Bilderberg Hotel Jan Luyken,295.0,1231.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d229144-Reviews-Bilderberg_Hotel_Jan_Luyken-Amsterdam_North_Holland_Province.html,Amsterdam
37,Element Amsterdam,159.0,1021.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d8694862-Reviews-Element_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
38,Hotel Jakarta Amsterdam,249.0,415.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d13965515-Reviews-Hotel_Jakarta_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
39,Generator Amsterdam,161.0,917.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d10045651-Reviews-Generator_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
40,Holiday Inn Express Amsterdam-Sloterdijk Station,154.0,1868.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d2337057-Reviews-Holiday_Inn_Express_Amsterdam_Sloterdijk_Station-Amsterdam_North_Holland_Province.html,Amsterdam
41,Corendon City Hotel Amsterdam,195.0,1828.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d7392738-Reviews-Corendon_City_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
42,Budget Hotel Tourist Inn,201.0,1213.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d2244656-Reviews-Budget_Hotel_Tourist_Inn-Amsterdam_North_Holland_Province.html,Amsterdam
43,Nova Hotel Amsterdam,263.0,1209.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d230877-Reviews-Nova_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
44,American Hotel Amsterdam,211.0,3825.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d229477-Reviews-American_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
45,The Hendrick's Hotel,229.0,235.0,5.0,http://www.tripadvisor.com/Hotel_Review-g188590-d12579757-Reviews-The_Hendrick_s_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
46,Monet Garden Hotel Amsterdam,236.0,254.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d12967879-Reviews-Monet_Garden_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
47,ClinkNOORD,167.0,1654.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d7827624-Reviews-ClinkNOORD-Amsterdam_North_Holland_Province.html,Amsterdam
48,Hotel Aalders,236.0,1780.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d237585-Reviews-Hotel_Aalders-Amsterdam_North_Holland_Province.html,Amsterdam
49,Room Mate Aitana,205.0,3794.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d4345724-Reviews-Room_Mate_Aitana-Amsterdam_North_Holland_Province.html,Amsterdam
50,Hotel Okura Amsterdam,315.0,2962.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d230117-Reviews-Hotel_Okura_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
51,Hotel JL No76,206.0,1362.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d2095235-Reviews-Hotel_JL_No76-Amsterdam_North_Holland_Province.html,Amsterdam
52,Hotel V Fizeaustraat,174.0,1010.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d10332886-Reviews-Hotel_V_Fizeaustraat-Amsterdam_North_Holland_Province.html,Amsterdam
53,Banks Mansion,365.0,3191.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d230616-Reviews-Banks_Mansion-Amsterdam_North_Holland_Province.html,Amsterdam
54,Renaissance Amsterdam Hotel,360.0,3886.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d229497-Reviews-Renaissance_Amsterdam_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
55,Sir Adam Hotel,329.0,580.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d9589433-Reviews-Sir_Adam_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
56,The Muse Amsterdam - Boutique Hotel,158.0,382.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d1738000-Reviews-The_Muse_Amsterdam_Boutique_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
57,WestCord Art Hotel Amsterdam,228.0,3147.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d614078-Reviews-WestCord_Art_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
