city,lat,lat1,lat2,lng,lng1,lng2
Amsterdam,52.3679843,52.4311573,52.27813889999999,4.9035614,5.0683903,4.7288558
Beijing,39.90419989999999,41.0608157,39.442758,116.4073963,117.514625,115.4234112
Las Vegas,36.1699412,36.380623,36.1296229,-115.1398296,-115.062072,-115.414625
Los Angeles,34.0522342,34.3373061,33.7036519,-118.2436849,-118.1552891,-118.6681759
Madrid,40.4167754,40.5638447,40.3120639,-3.7037902,-3.5249115,-3.8341618
New York,40.7127753,40.9175771,40.4773991,-74.0059728,-73.70027209999999,-74.25908989999999
Paris,48.856614,48.9021449,48.815573,2.3522219,2.4699208,2.224199
Sydney,-33.8688197,-33.5781409,-34.118347,151.2092955,151.3430209,150.5209286
