booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Coral Sands Motel,los angeles,12,$116,1151 ,,http://www.tripadvisor.com/Hotel_Review-g32655-d133994-Reviews-Coral_Sands_Motel-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Royal Palace Westwood,los angeles,11,$179,340 ,,http://www.tripadvisor.com/Hotel_Review-g32655-d82636-Reviews-Royal_Palace_Westwood-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Comfort Inn - Los Angeles / West Sunset Blvd.,los angeles,14,$149,400 ,,http://www.tripadvisor.com/Hotel_Review-g32655-d272668-Reviews-Comfort_Inn_Los_Angeles_West_Sunset_Blvd-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,Free Wifi,Plaza La Reina,los angeles,15,$249,95 ,,http://www.tripadvisor.com/Hotel_Review-g32655-d10170507-Reviews-Plaza_La_Reina-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Beachfront",Bayside Hotel,los angeles,10,$212,619 ,,http://www.tripadvisor.com/Hotel_Review-g33052-d82038-Reviews-Bayside_Hotel-Santa_Monica_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Ramada by Wyndham Marina Del Rey,los angeles,12,$185,570 ,,http://www.tripadvisor.com/Hotel_Review-g32684-d84180-Reviews-Ramada_by_Wyndham_Marina_Del_Rey-Marina_del_Rey_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Courtyard Los Angeles Century City/Beverly Hills,los angeles,13,$189,506 ,,http://www.tripadvisor.com/Hotel_Review-g32655-d119483-Reviews-Courtyard_Los_Angeles_Century_City_Beverly_Hills-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",The Hotel Hollywood,los angeles,10,$159,617 ,,http://www.tripadvisor.com/Hotel_Review-g32655-d508182-Reviews-The_Hotel_Hollywood-Los_Angeles_California.html
TripAdvisor,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Warner Center Marriott Woodland Hills,los angeles,11,$199,705 ,,http://www.tripadvisor.com/Hotel_Review-g32655-d82689-Reviews-Warner_Center_Marriott_Woodland_Hills-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Villa Delle Stelle,los angeles,5,$230,226 ,,http://www.tripadvisor.com/Hotel_Review-g32655-d621153-Reviews-Villa_Delle_Stelle-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Palihotel,los angeles,10,$235,361 ,,http://www.tripadvisor.com/Hotel_Review-g32655-d2522171-Reviews-Palihotel-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Palihouse West Hollywood,los angeles,12,$284,302 ,,http://www.tripadvisor.com/Hotel_Review-g33252-d1035907-Reviews-Palihouse_West_Hollywood-West_Hollywood_California.html
Official Website,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Hotel Angeleno,los angeles,18,$169,1992 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d84522-Reviews-Hotel_Angeleno-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Visit hotel website",The Mayfair Hotel,los angeles,16,$209,104 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77753-Reviews-The_Mayfair_Hotel-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Ramada Plaza By Wyndham West Hollywood,los angeles,15,$209,2697 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g33252-d82600-Reviews-Ramada_Plaza_By_Wyndham_West_Hollywood-West_Hollywood_California.html
Hilton.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Hilton Los Angeles Airport,los angeles,17,$129,5741 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d84167-Reviews-Hilton_Los_Angeles_Airport-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",La Quinta Inn & Suites LAX,los angeles,12,$159,1938 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d84182-Reviews-La_Quinta_Inn_Suites_LAX-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Sheraton Universal Hotel,los angeles,15,$269,86 ,4 ,http://www.tripadvisor.com/Hotel_Review-g32655-d84422-Reviews-Sheraton_Universal_Hotel-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Hollywood Inn Suites Hotel,los angeles,10,$143,40 ,5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d13406175-Reviews-Hollywood_Inn_Suites_Hotel-Los_Angeles_California.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",SureStay Collection by Best Western Sunset West Hotel,los angeles,12,$174,639 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d119454-Reviews-SureStay_Collection_by_Best_Western_Sunset_West_Hotel-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Hotel Carmel,los angeles,16,$219,1095 ,3 ,http://www.tripadvisor.com/Hotel_Review-g33052-d84346-Reviews-Hotel_Carmel-Santa_Monica_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",The Dixie Hollywood,los angeles,11,$161,821 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d239812-Reviews-The_Dixie_Hollywood-Los_Angeles_California.html
Hotwire.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Best Western Los Angeles Worldport Hotel,los angeles,14,$149,225 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d81120-Reviews-Best_Western_Los_Angeles_Worldport_Hotel-Los_Angeles_California.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Metro Plaza Hotel,los angeles,11,$125,438 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77829-Reviews-Metro_Plaza_Hotel-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Days Inn by Wyndham Hollywood Near Universal Studios,los angeles,15,$200,1633 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d77256-Reviews-Days_Inn_by_Wyndham_Hollywood_Near_Universal_Studios-Los_Angeles_California.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Crowne Plaza Los Angeles Harbor Hotel,los angeles,14,$288,740 ,3.5 ,http://www.tripadvisor.com/Hotel_Review-g32655-d81765-Reviews-Crowne_Plaza_Los_Angeles_Harbor_Hotel-Los_Angeles_California.html
