booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Hampton.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Hampton Inn Manhattan-Times Square North,new york,14,$159,6301 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g60763-d93457-Reviews-Hampton_Inn_Manhattan_Times_Square_North-New_York_City_New_York.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",The Wagner at the Battery,new york,15,$215,2632 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g60763-d222959-Reviews-The_Wagner_at_the_Battery-New_York_City_New_York.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge,Visit hotel website",Hotel Beacon,new york,17,$255,4697 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g60763-d93338-Reviews-Hotel_Beacon-New_York_City_New_York.html
Priceline,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",TRYP New York City Times Square South,new york,18,$159,4521 ,4 ,http://www.tripadvisor.com/Hotel_Review-g60763-d2253206-Reviews-TRYP_New_York_City_Times_Square_South-New_York_City_New_York.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Washington Square Hotel,new york,17,$334,1718 ,4 ,http://www.tripadvisor.com/Hotel_Review-g60763-d93382-Reviews-Washington_Square_Hotel-New_York_City_New_York.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",Pod 51 Hotel,new york,14,$89,5435 ,4 ,http://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York.html
AMOMA,2019/03/29,2019/03/30,"Free Wifi,Restaurant",The Roxy Hotel Tribeca,new york,18,$267,1272 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g60763-d208455-Reviews-The_Roxy_Hotel_Tribeca-New_York_City_New_York.html
Official Hotel,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Hotel on Rivington,new york,15,$345,1656 ,4 ,http://www.tripadvisor.com/Hotel_Review-g60763-d514488-Reviews-Hotel_on_Rivington-New_York_City_New_York.html
Expedia.com,2019/03/29,2019/03/30,"Visit hotel website,Free Wifi,Bar/Lounge",The High Line Hotel,new york,9,$299,774 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g60763-d4283443-Reviews-The_High_Line_Hotel-New_York_City_New_York.html
Hotwire.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Room service",Soho Grand Hotel,new york,16,$207,3451 ,4 ,http://www.tripadvisor.com/Hotel_Review-g60763-d93561-Reviews-Soho_Grand_Hotel-New_York_City_New_York.html
Hotwire.com,2019/03/29,2019/03/30,"Restaurant,Room service,Bar/Lounge",Belvedere Hotel,new york,16,$149,6039 ,4 ,http://www.tripadvisor.com/Hotel_Review-g60763-d93569-Reviews-Belvedere_Hotel-New_York_City_New_York.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Fitness center",The Wall Street Inn,new york,13,$134,584 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g60763-d251906-Reviews-The_Wall_Street_Inn-New_York_City_New_York.html
