booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Holiday Inn Express Beijing Minzuyuan,beijing,12,$97,551 ,4 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1185192-Reviews-Holiday_Inn_Express_Beijing_Minzuyuan-Beijing.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Four Seasons Hotel Beijing,beijing,14,$312,1889 ,5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d3358782-Reviews-Four_Seasons_Hotel_Beijing-Beijing.html
Agoda.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included",Kuntai Royal Hotel,beijing,7,$132,276 ,4 ,http://www.tripadvisor.com/Hotel_Review-g294212-d589897-Reviews-Kuntai_Royal_Hotel-Beijing.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Grand Hyatt Beijing,beijing,15,$201,3197 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d305304-Reviews-Grand_Hyatt_Beijing-Beijing.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Mutianyu Changcheng Wangshanyuan Farmhouse,beijing,9,$68,83 ,5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d7272507-Reviews-Mutianyu_Changcheng_Wangshanyuan_Farmhouse-Beijing.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Holiday Inn Beijing Haidian,beijing,11,,269 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d2068192-Reviews-Holiday_Inn_Beijing_Haidian-Beijing.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Shangri-La's China World Hotel,beijing,13,$131,4464 ,5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d302139-Reviews-Shangri_La_s_China_World_Hotel-Beijing.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Shangri-La's China World Hotel,beijing,14,$131,4464 ,5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d302139-Reviews-Shangri_La_s_China_World_Hotel-Beijing.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Hotel Eclat Beijing,beijing,13,$214,1502 ,5 ,http://www.tripadvisor.com/Hotel_Review-g294212-d3256870-Reviews-Hotel_Eclat_Beijing-Beijing.html
Trip.com,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",Holiday Inn Express Beijing Temple Of Heaven,beijing,13,$84,1170 ,4 ,http://www.tripadvisor.com/Hotel_Review-g294212-d1145964-Reviews-Holiday_Inn_Express_Beijing_Temple_Of_Heaven-Beijing.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool",Hotel New Otani Chang Fu Gong,beijing,13,$113,829 ,4 ,http://www.tripadvisor.com/Hotel_Review-g294212-d301008-Reviews-Hotel_New_Otani_Chang_Fu_Gong-Beijing.html
