booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
NH Hotels,2019/03/29,2019/03/30,"Free Wifi,Restaurant",NH Madrid Nacional,madrid,17,$205,948 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d206977-Reviews-NH_Madrid_Nacional-Madrid.html
Hotwire.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Hotel Urban,madrid,17,$338,2347 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d296957-Reviews-Hotel_Urban-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Barcelo Imagine,madrid,12,,385 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d13313533-Reviews-Barcelo_Imagine-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Hotel Liabeny,madrid,14,$217,3717 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d231637-Reviews-Hotel_Liabeny-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",Hotel NH Madrid Barajas Airport,madrid,15,$77,354 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d206994-Reviews-Hotel_NH_Madrid_Barajas_Airport-Madrid.html
Hotwire.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",The Principal Madrid,madrid,13,$298,1440 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d7309373-Reviews-The_Principal_Madrid-Madrid.html
Only YOU Hotels,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Only YOU Boutique Hotel Madrid,madrid,13,$251,3124 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d4719800-Reviews-Only_YOU_Boutique_Hotel_Madrid-Madrid.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Hotel Urban,madrid,17,$338,2347 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d296957-Reviews-Hotel_Urban-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Barcelo Imagine,madrid,12,$133,385 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d13313533-Reviews-Barcelo_Imagine-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Hotel Liabeny,madrid,14,$217,3717 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d231637-Reviews-Hotel_Liabeny-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",Hotel NH Madrid Barajas Airport,madrid,15,$77,354 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d206994-Reviews-Hotel_NH_Madrid_Barajas_Airport-Madrid.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",The Principal Madrid,madrid,12,$298,1442 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d7309373-Reviews-The_Principal_Madrid-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Iberostar Las Letras Gran Via,madrid,17,$230,1893 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d498185-Reviews-Iberostar_Las_Letras_Gran_Via-Madrid.html
ibis,2019/03/29,2019/03/30,Free Wifi,ibis Madrid Centro Las Ventas,madrid,13,$91,1733 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d2554768-Reviews-Ibis_Madrid_Centro_Las_Ventas-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Room service,Visit hotel website",Principe Pio Hotel,madrid,14,$141,1588 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d234293-Reviews-Principe_Pio_Hotel-Madrid.html
Travelocity,2019/03/29,2019/03/30,"Free Wifi,Pool",Axel Hotel Madrid,madrid,17,$193,627 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d12560161-Reviews-Axel_Hotel_Madrid-Madrid.html
ibis,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge,Visit hotel website",Ibis Madrid Centro,madrid,11,$128,1519 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d578500-Reviews-Ibis_Madrid_Centro-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",Ganivet Hotel,madrid,16,$121,2052 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d277271-Reviews-Ganivet_Hotel-Madrid.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Hotel Moderno,madrid,12,$142,1480 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d206992-Reviews-Hotel_Moderno-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Breakfast included,Visit hotel website",Vitium Urban Suites,madrid,13,$106,474 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d5534946-Reviews-Vitium_Urban_Suites-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",ME BY MELIA MADRID Reina Victoria,madrid,12,$199,3625 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d630305-Reviews-ME_BY_MELIA_MADRID_Reina_Victoria-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Hotel Catalonia Plaza Mayor,madrid,11,$133,1321 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d2073182-Reviews-Hotel_Catalonia_Plaza_Mayor-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",VP Plaza Espana Design,madrid,12,$220,269 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d13818465-Reviews-VP_Plaza_Espana_Design-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Heritage Madrid Hotel,madrid,11,$228,121 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d12828930-Reviews-Heritage_Madrid_Hotel-Madrid.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Acta Madfor,madrid,13,$117,1312 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d3584839-Reviews-Acta_Madfor-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",NH Collection Paseo del Prado,madrid,16,,1689 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d338304-Reviews-NH_Collection_Paseo_del_Prado-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Ayre Gran Hotel Colon,madrid,15,,2595 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d228573-Reviews-Ayre_Gran_Hotel_Colon-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",ILUNION Alcala Norte,madrid,16,$68,904 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d296924-Reviews-ILUNION_Alcala_Norte-Madrid.html
Expedia.com,2019/03/29,2019/03/30,Free Wifi,Petit Palace Puerta Del Sol,madrid,13,,1313 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d498913-Reviews-Petit_Palace_Puerta_Del_Sol-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",H10 Villa de la Reina Boutique Hotel,madrid,13,,681 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d234302-Reviews-H10_Villa_de_la_Reina_Boutique_Hotel-Madrid.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Petit Palace Triball,madrid,15,,1250 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d506966-Reviews-Petit_Palace_Triball-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",TOC Hostel & Suites,madrid,14,,568 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d6951963-Reviews-TOC_Hostel_Suites-Madrid.html
