booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Booking.com,2019/03/29,2019/03/30,Visit hotel website,Meriton Suites Waterloo,sydney,7,$107,590 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d572865-Reviews-Meriton_Suites_Waterloo-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,,The Urban Newtown,sydney,12,$77,583 ,4 ,http://www.tripadvisor.com/Hotel_Review-g8572746-d7103854-Reviews-The_Urban_Newtown-Newtown_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,,Veriu Broadway,sydney,11,$128,405 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d12318566-Reviews-Veriu_Broadway-Sydney_New_South_Wales.html
Orbitz.com,2019/03/29,2019/03/30,Visit hotel website,Primus Hotel Sydney,sydney,14,$160,1126 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d8776883-Reviews-Primus_Hotel_Sydney-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,Visit hotel website,Shangri-La Hotel Sydney,sydney,15,$564,7479 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256528-Reviews-Shangri_La_Hotel_Sydney-Sydney_New_South_Wales.html
Agoda.com,2019/03/29,2019/03/30,,Sofitel Sydney Darling Harbour,sydney,12,,1444 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d11687464-Reviews-Sofitel_Sydney_Darling_Harbour-Sydney_New_South_Wales.html
InterContinental,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",InterContinental Sydney Double Bay,sydney,14,$416,642 ,,http://www.tripadvisor.com/Hotel_Review-g552126-d6827689-Reviews-InterContinental_Sydney_Double_Bay-Woollahra_New_South_Wales.html
Hotwire.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Radisson Hotel And Suites Sydney,sydney,14,$128,2133 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d256627-Reviews-Radisson_Hotel_And_Suites_Sydney-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Pool,Restaurant",Pullman Quay Grand Sydney Harbour,sydney,15,$228,1661 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d256622-Reviews-Pullman_Quay_Grand_Sydney_Harbour-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",Veriu Broadway,sydney,11,$128,405 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d12318566-Reviews-Veriu_Broadway-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,Free Internet,Sydney Harbour YHA,sydney,11,$104,1215 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d1590454-Reviews-Sydney_Harbour_YHA-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,"Pool,Free Internet,Visit hotel website",Macleay Hotel,sydney,16,$112,1025 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d256576-Reviews-Macleay_Hotel-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",Vulcan Hotel Sydney,sydney,11,$93,501 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d294612-Reviews-Vulcan_Hotel_Sydney-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,Free Wifi,The Ultimo,sydney,17,$115,755 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d257280-Reviews-The_Ultimo-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Visit hotel website",Hotel Challis,sydney,11,$109,1006 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d594529-Reviews-Hotel_Challis-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",The Tank Stream Hotel,sydney,15,$151,992 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d8488014-Reviews-The_Tank_Stream_Hotel-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool",Astral Tower and Residences,sydney,16,$263,1299 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d256649-Reviews-Astral_Tower_and_Residences-Sydney_New_South_Wales.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Fitness center",Larmont Sydney by Lancemore,sydney,15,$128,440 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d656349-Reviews-Larmont_Sydney_by_Lancemore-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Adina Apartment Hotel Sydney Town Hall,sydney,13,$120,3211 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d256583-Reviews-Adina_Apartment_Hotel_Sydney_Town_Hall-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Best Western Plus Hotel Stellar,sydney,15,$93,892 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d255863-Reviews-Best_Western_Plus_Hotel_Stellar-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,Free Wifi,Central Railway Hotel,sydney,14,$86,796 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d256534-Reviews-Central_Railway_Hotel-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool",The Darling,sydney,15,$214,1071 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d2332600-Reviews-The_Darling-Sydney_New_South_Wales.html
Novotel,2019/03/29,2019/03/30,"Pool,Restaurant",Novotel Sydney Central,sydney,13,$119,1571 ,,http://www.tripadvisor.com/Hotel_Review-g255060-d256531-Reviews-Novotel_Sydney_Central-Sydney_New_South_Wales.html
